-1.273183	1.273183
-1.270041	1.270041
-1.266900	1.266899
-1.263758	1.263758
-1.260616	1.260616
-1.257475	1.257475
-1.254333	1.254333
-1.251191	1.251191
-1.248050	1.248049
-1.244908	1.244908
-1.241766	1.241766
-1.238625	1.238625
-1.235483	1.235483
-1.232342	1.232342
-1.229200	1.229200
-1.226058	1.226058
-1.222917	1.222916
-1.219775	1.219775
-1.216633	1.216633
-1.213492	1.213492
-1.210350	1.210350
-1.207208	1.207208
-1.204067	1.204067
-1.200925	1.200925
-1.197783	1.197783
-1.194642	1.194642
-1.191500	1.191500
-1.188359	1.188359
-1.185217	1.185217
-1.182075	1.182075
-1.178934	1.178933
-1.175792	1.175792
-1.172650	1.172650
-1.169509	1.169509
-1.166367	1.166367
-1.163225	1.163225
-1.160084	1.160084
-1.156942	1.156942
-1.153800	1.153800
-1.150659	1.150659
-1.147517	1.147517
-1.144376	1.144376
-1.141234	1.141234
-1.138092	1.138092
-1.134951	1.134950
-1.131809	1.131809
-1.128667	1.128667
-1.125526	1.125526
-1.122384	1.122384
-1.119242	1.119242
-1.116101	1.116101
-1.112959	1.112959
-1.109818	1.109817
-1.106676	1.106676
-1.103534	1.103534
-1.100393	1.100393
-1.097251	1.097251
-1.094109	1.094109
-1.090968	1.090967
-1.087826	1.087826
-1.084684	1.084684
-1.081543	1.081543
-1.078401	1.078401
-1.075259	1.075259
-1.072118	1.072118
-1.068976	1.068976
-1.065835	1.065834
-1.062693	1.062693
-1.059551	1.059551
-1.056410	1.056410
-1.053268	1.053268
-1.050126	1.050126
-1.046985	1.046984
-1.043843	1.043843
-1.040701	1.040701
-1.037560	1.037560
-1.034418	1.034418
-1.031276	1.031276
-1.028135	1.028135
-1.024993	1.024993
-1.021852	1.021851
-1.018710	1.018710
-1.015568	1.015568
-1.012427	1.012427
-1.009285	1.009285
-1.006143	1.006143
-1.003002	1.003001
-0.999860	0.999860
-0.996719	0.996719
-0.993577	0.993577
-0.990435	0.990435
-0.987294	0.987294
-0.984152	0.984152
-0.981011	0.981011
-0.977869	0.977869
-0.974727	0.974727
-0.971586	0.971586
-0.968444	0.968444
-0.965303	0.965303
-0.962161	0.962161
-0.959020	0.959019
-0.955878	0.955878
-0.952736	0.952736
-0.949595	0.949595
-0.946453	0.946453
-0.943312	0.943311
-0.940170	0.940170
-0.937028	0.937029
-0.933887	0.933887
-0.930745	0.930745
-0.927604	0.927603
-0.924462	0.924462
-0.921321	0.921321
-0.918179	0.918179
-0.915037	0.915037
-0.911896	0.911896
-0.908754	0.908754
-0.905613	0.905613
-0.902471	0.902471
-0.899329	0.899329
-0.896188	0.896188
-0.893046	0.893046
-0.889905	0.889905
-0.886763	0.886763
-0.883622	0.883621
-0.880480	0.880480
-0.877338	0.877338
-0.874197	0.874197
-0.871055	0.871055
-0.867914	0.867913
-0.864772	0.864772
-0.861630	0.861631
-0.858489	0.858489
-0.855347	0.855347
-0.852206	0.852206
-0.849064	0.849064
-0.845923	0.845923
-0.842781	0.842781
-0.839639	0.839639
-0.836498	0.836498
-0.833356	0.833356
-0.830215	0.830215
-0.827073	0.827073
-0.823932	0.823931
-0.820790	0.820790
-0.817648	0.817648
-0.814507	0.814507
-0.811365	0.811365
-0.808224	0.808223
-0.805082	0.805082
-0.801940	0.801940
-0.798799	0.798799
-0.795657	0.795657
-0.792516	0.792516
-0.789374	0.789374
-0.786233	0.786233
-0.783091	0.783091
-0.779949	0.779949
-0.776808	0.776808
-0.773666	0.773666
-0.770525	0.770525
-0.767383	0.767383
-0.764241	0.764241
-0.761100	0.761100
-0.757958	0.757958
-0.754817	0.754817
-0.751675	0.751675
-0.748534	0.748533
-0.745392	0.745392
-0.742250	0.742250
-0.739109	0.739109
-0.735967	0.735967
-0.732826	0.732826
-0.729684	0.729684
-0.726542	0.726542
-0.723401	0.723401
-0.720259	0.720259
-0.717118	0.717118
-0.713976	0.713976
-0.710835	0.710835
-0.707693	0.707693
-0.704551	0.704551
-0.701410	0.701410
-0.698268	0.698268
-0.695127	0.695127
-0.691985	0.691985
-0.688843	0.688843
-0.685702	0.685702
-0.682560	0.682560
-0.679419	0.679419
-0.676277	0.676277
-0.673136	0.673136
-0.669994	0.669994
-0.666852	0.666852
-0.663711	0.663711
-0.660569	0.660569
-0.657428	0.657428
-0.654286	0.654286
-0.651145	0.651144
-0.648003	0.648003
-0.644861	0.644861
-0.641720	0.641720
-0.638578	0.638578
0.636906	0.636906
0.640047	0.640047
0.643189	0.643189
0.646331	0.646331
0.649472	0.649472
0.652614	0.652614
0.655755	0.655755
0.658897	0.658897
0.662039	0.662039
0.665180	0.665180
0.668322	0.668322
0.671463	0.671463
0.674605	0.674605
0.677746	0.677747
0.680888	0.680888
0.684030	0.684030
0.687171	0.687171
0.690313	0.690313
0.693454	0.693455
0.696596	0.696596
0.699738	0.699737
0.702879	0.702879
0.706021	0.706021
0.709162	0.709162
0.712304	0.712304
0.715445	0.715445
0.718587	0.718587
0.721729	0.721729
0.724870	0.724870
0.728012	0.728012
0.731153	0.731153
0.734295	0.734295
0.737437	0.737437
0.740578	0.740578
0.743720	0.743720
0.746861	0.746861
0.750003	0.750003
0.753144	0.753145
0.756286	0.756286
0.759428	0.759428
0.762569	0.762569
0.765711	0.765711
0.768852	0.768852
0.771994	0.771994
0.775136	0.775135
0.778277	0.778277
0.781419	0.781419
0.784560	0.784560
0.787702	0.787702
0.790843	0.790843
0.793985	0.793985
0.797127	0.797127
0.800268	0.800268
0.803410	0.803410
0.806551	0.806551
0.809693	0.809693
